Title,Body,Labels,Status,Week,Developer,Priority
"Sistema de Tags Automáticos","Cálculo de emisiones CO₂ por pedido. Cálculo de reducción de plástico. Generación automática de tags.","backend,social","Todo",4,Dev1,High
"Cálculo de Impacto Ecológico","Endpoint para calcular emisiones. Endpoint para calcular plástico evitado. Acumulación de impacto por usuario.","backend,social,environment","Todo",4,Dev1,High
"Testing y Optimizaciones Backend","Tests de integración básicos. Optimización de queries. Corrección de bugs críticos.","backend,testing","Todo",4,Dev1,Medium
"App Móvil - Feed Publicaciones","Lista de publicaciones. Scroll infinito. Cards de publicación con tags.","mobile,social","Todo",4,Dev2,High
"App Móvil - Crear Publicación","Cámara integrada / selección de foto. Editor básico (filtros opcionales). Tags automáticos pre-cargados. Publicar en feed.","mobile,social","Todo",4,Dev2,High
"App Móvil - Interacción Social","Sistema de likes. Comentarios básicos. Compartir publicación.","mobile,social","Todo",4,Dev2,High
"App Móvil - Perfil Ecológico","Estadísticas de impacto. Publicaciones del usuario. Badges obtenidos.","mobile,social,profile","Todo",4,Dev2,High
"App Móvil - Compartir Externo","Generar tarjeta para compartir. Compartir en WhatsApp. Link de invitación incluido.","mobile,social,sharing","Todo",4,Dev2,High
"App Local - Mejoras","Gestión completa de menú. Promociones básicas. Estadísticas de ventas mejoradas.","web,local","Todo",4,Dev3,Medium
"Panel Admin - Mejoras","Reportes avanzados. Exportación de datos. Gestión de contenido de red social.","web,admin","Todo",4,Dev3,Medium
"Testing End-to-End","Flujos completos de usuario. Corrección de bugs. Optimización de performance.","testing,qa","Todo",4,All,High
"Documentación Final","Guía de usuario básica. Documentación de API. Manual de administrador.","documentation","Todo",4,All,Medium

